Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,X..on.target,AnimalID,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX.x,HAP,mito.haps,USE.x,GTseq.stratum,Optimization.sample,Main.run,Latitude.x,Longitude.x,YR.x,SOURCE.x,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,FIELDID,Animal_ID,SOURCE.y,Collection_Method,CONTACT_NAME,Organization,Label,LAB,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,USE.y,Restrict_Description,YR.y,MO,DA,Location,City,Island,County,State,Country,Latitude.y,Latitude_Precision,Latitude_Precision_Unit,Longitude.y,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX.y,Gender_Determination,ACCESSIONDATE,GENBANK.,GENBANK1,GENBANK2,GENBANK3,COMMENTS,Record_Creation_Date,Edit_User,Edit_Date
z0195779_Mnov_MS51_n0028357_R1.fastq.gz,1,A,11,z0195779,28357,2483,40,0,0,0,0.016,195779,NA,NA,NA,NA,NA,M,F3,NA,CCES,NA,NA,x,40.7154,-124.4858,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-01,242751,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.7154,1e-04,DEGREE,-124.4858,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195780_Mnov_MS51_n0028358_R1.fastq.gz,1,B,11,z0195780,28358,6014,1151,2,8,1,0.191,195780,NA,NA,NA,NA,NA,F,F2,NA,CCES,NA,NA,x,40.6023,-124.513,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-02,242752,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.6023,1e-04,DEGREE,-124.513,0.001,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195781_Mnov_MS51_n0028359_R1.fastq.gz,1,C,11,z0195781,28359,6401,2013,3,27,6,0.314,195781,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,40.6033,-124.512,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-03,242753,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.6033,1e-04,DEGREE,-124.512,0.001,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195782_Mnov_MS51_n0028360_R1.fastq.gz,1,D,11,z0195782,28360,10324,4813,8,160,47,0.466,195782,NA,NA,NA,NA,NA,M,E1_E11,NA,CCES,NA,NA,x,40.603,-124.5098,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-04,242754,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.603,0.001,DEGREE,-124.5098,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195786_Mnov_MS51_n0028361_R1.fastq.gz,1,E,11,z0195786,28361,1155,68,0,1,0,0.059,195786,NA,NA,NA,NA,NA,F,E13,NA,CCES,NA,NA,x,40.6063,-124.4958,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-08,242758,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.6063,1e-04,DEGREE,-124.4958,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195787_Mnov_MS51_n0028362_R1.fastq.gz,1,F,11,z0195787,28362,5345,1331,2,11,1,0.249,195787,NA,NA,NA,NA,NA,F,E13,NA,CCES,NA,NA,x,40.6073,-124.5019,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-09,242759,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.6073,1e-04,DEGREE,-124.5019,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195791_Mnov_MS51_n0028363_R1.fastq.gz,1,G,11,z0195791,28363,216,33,0,0,0,0.153,195791,NA,NA,NA,NA,NA,F,F2,NA,CCES,NA,NA,x,32.588333,-118.076666,2018,ENTANGLED-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,LSK180921.01,242763,ENTANGLED-SWFSC-CCES,ENTANGLEMENT,NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,9,21,,,,,,UNITED STATES OF AMERICA,32.588333,0.1,MINUTE,-118.076666,0.1,MINUTE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,"biopsy from dead whale, sample taken at 1739. Dead humpback, entangled in gear, looks reasonably fresh, no big shark bites, believe to be this year's calf",10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195645_Mnov_MS51_n0028364_R1.fastq.gz,1,H,11,z0195645,28364,211,59,0,0,0,0.28,195645,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,48.4576,-125.0055,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-04,242617,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4576,1e-04,DEGREE,-125.0055,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195653_Mnov_MS51_n0028365_R1.fastq.gz,1,A,12,z0195653,28365,4900,1890,4,43,3,0.386,195653,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.3542,-125.3579,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180705-ZIP-05,242625,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,5,,,,,,UNITED STATES OF AMERICA,48.3542,1e-04,DEGREE,-125.3579,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,lasker sighting 204,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195662_Mnov_MS51_n0028366_R1.fastq.gz,1,B,12,z0195662,28366,228,24,0,0,0,0.105,195662,NA,NA,NA,NA,NA,F,E7,NA,CCES,NA,NA,x,48.0257,-125.2463,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180707-ZIP-07,242634,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,7,,,,,,UNITED STATES OF AMERICA,48.0257,1e-04,DEGREE,-125.2463,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195674_Mnov_MS51_n0028367_R1.fastq.gz,1,C,12,z0195674,28367,209,41,0,0,0,0.196,195674,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,47.924,-125.3161,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-12,242646,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.924,0.001,DEGREE,-125.3161,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195686_Mnov_MS51_n0028368_R1.fastq.gz,1,D,12,z0195686,28368,134,69,0,0,0,0.515,195686,NA,NA,NA,NA,NA,M,Mnov_1_E4,NA,CCES,NA,NA,x,48.1827,-125.6768,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180709-ZIP-10,242658,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,9,,,,,,UNITED STATES OF AMERICA,48.1827,1e-04,DEGREE,-125.6768,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195713_Mnov_MS51_n0028369_R1.fastq.gz,1,E,12,z0195713,28369,175029,145068,373.5,365,361,0.829,195713,NA,NA,NA,NA,NA,F,E6,NA,CCES,NA,NA,x,43.7434,-124.4173,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180730-ZIP-08,242685,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,30,,,,,,UNITED STATES OF AMERICA,43.7434,1e-04,DEGREE,-124.4173,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195742_Mnov_MS51_n0028370_R1.fastq.gz,1,F,12,z0195742,28370,190275,165753,408,366,360,0.871,195742,NA,NA,NA,NA,NA,F,E13,NA,CCES,NA,NA,x,43.6623,-124.344,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180731-ZIP-19,242714,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,31,,,,,,UNITED STATES OF AMERICA,43.6623,1e-04,DEGREE,-124.344,0.001,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195769_Mnov_MS51_n0028371_R1.fastq.gz,1,G,12,z0195769,28371,2967,130,0,1,1,0.044,195769,NA,NA,NA,NA,NA,F,F2,NA,CCES,NA,NA,x,42.4167,-124.5177,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180804-ZIP-04,242741,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,4,,,,,,UNITED STATES OF AMERICA,42.4167,1e-04,DEGREE,-124.5177,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195779_Mnov_MS51_n0028372_R1.fastq.gz,1,H,12,z0195779,28372,5905,81,0,1,0,0.014,195779,NA,NA,NA,NA,NA,M,F3,NA,CCES,NA,NA,x,40.7154,-124.4858,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180808-ZIP-01,242751,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,8,,,,,,UNITED STATES OF AMERICA,40.7154,1e-04,DEGREE,-124.4858,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0196707_Mnov_MS51_n0028373_R1.fastq.gz,2,A,1,z0196707,28373,97269,86465,223,362,357,0.889,196707,NA,NA,NA,NA,NA,F,E3,NA,CCES,NA,NA,x,36.8026,-121.7996,2018,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,NA - no winter photo,CRC-20180424-MUS-01 Tag30,176005,BIOPSY-CASCADIA,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,4,24,,,,,,UNITED STATES OF AMERICA,36.8026,1e-04,DEGREE,-121.7996,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Skin and Blubber,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196708_Mnov_MS51_n0028374_R1.fastq.gz,2,B,1,z0196708,28374,41112,37454,69.5,338,302,0.911,196708,NA,NA,NA,NA,NA,M,F2,NA,CCES,NA,NA,x,36.8076,-121.8024,2018,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,NA - no winter photo,CRC-20180424-MUS-02,176006,BIOPSY-CASCADIA,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,4,24,,,,,,UNITED STATES OF AMERICA,36.8076,1e-04,DEGREE,-121.8024,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196709_Mnov_MS51_n0028375_R1.fastq.gz,2,C,1,z0196709,28375,85420,81463,173,353,340,0.954,196709,NA,NA,NA,NA,NA,M,E1_E11,NA,CCES,NA,NA,x,36.8017,-121.7997,2018,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,NA - no winter photo,CRC-20180425-MUS-01 TAG21,176007,BIOPSY-CASCADIA,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,4,25,,,,,,UNITED STATES OF AMERICA,36.8017,1e-04,DEGREE,-121.7997,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Skin and Blubber,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196714_Mnov_MS51_n0028376_R1.fastq.gz,2,D,1,z0196714,28376,135042,128721,310.5,360,356,0.953,196714,NA,NA,NA,NA,NA,M,E1_E11,NA,CCES,NA,NA,x,36.8035,-121.8005,2018,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,NA - no winter photo,CRC-20180608-MUS-01,176012,BIOPSY-CASCADIA,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,6,8,,,,,,UNITED STATES OF AMERICA,36.8035,1e-04,DEGREE,-121.8005,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Skin and Blubber,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196718_Mnov_MS51_n0028377_R1.fastq.gz,2,E,1,z0196718,28377,146675,139552,349.5,357,354,0.951,196718,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,36.7996,-121.8248,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180807-MUS-01,176016,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,7,,,,,,UNITED STATES OF AMERICA,36.7996,1e-04,DEGREE,-121.8248,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196721_Mnov_MS51_n0028378_R1.fastq.gz,2,F,1,z0196721,28378,46215,41306,87,347,321,0.894,196721,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,38.2542,-123.2624,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180818-MUS-02,176019,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,18,,,,,,UNITED STATES OF AMERICA,38.2542,1e-04,DEGREE,-123.2624,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196722_Mnov_MS51_n0028379_R1.fastq.gz,2,G,1,z0196722,28379,96966,92765,213,358,344,0.957,196722,NA,NA,NA,NA,NA,F,F2,NA,CCES,NA,NA,x,38.0358,-123.5129,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180818-MUS-03,176020,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,18,,,,,,UNITED STATES OF AMERICA,38.0358,1e-04,DEGREE,-123.5129,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196723_Mnov_MS51_n0028380_R1.fastq.gz,2,H,1,z0196723,28380,10100,7573,13,226,120,0.75,196723,NA,NA,NA,NA,NA,F,E7,NA,CCES,NA,NA,x,37.993,-123.473,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180818-MUS-04,176021,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,18,,,,,,UNITED STATES OF AMERICA,37.993,0.001,DEGREE,-123.473,0.001,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196726_Mnov_MS51_n0028381_R1.fastq.gz,2,A,2,z0196726,28381,92484,88370,202,356,347,0.956,196726,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,37.5119,-122.5859,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180821-ZIP-03,176024,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,21,,,,,,UNITED STATES OF AMERICA,37.5119,1e-04,DEGREE,-122.5859,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Likely thawed for short period due to Dry Shipper not staying cold,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196727_Mnov_MS51_n0028382_R1.fastq.gz,2,B,2,z0196727,28382,89784,85955,186,354,344,0.957,196727,NA,NA,NA,NA,NA,M,E1_E11,NA,CCES,NA,NA,x,37.5471,-122.6112,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180821-ZIP-04,176025,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,21,,,,,,UNITED STATES OF AMERICA,37.5471,1e-04,DEGREE,-122.6112,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Likely thawed for short period due to Dry Shipper not staying cold,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196728_Mnov_MS51_n0028383_R1.fastq.gz,2,C,2,z0196728,28383,100655,96314,202,353,345,0.957,196728,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,37.5876,-122.7458,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180821-ZIP-05,176026,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,21,,,,,,UNITED STATES OF AMERICA,37.5876,1e-04,DEGREE,-122.7458,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Likely thawed for short period due to Dry Shipper not staying cold,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196732_Mnov_MS51_n0028384_R1.fastq.gz,2,D,2,z0196732,28384,133934,129766,219,353,340,0.969,196732,NA,NA,NA,NA,NA,F,F2,NA,CCES,NA,NA,x,37.5947,-122.7905,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180821-ZIP-09,176030,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,21,,,,,,UNITED STATES OF AMERICA,37.5947,1e-04,DEGREE,-122.7905,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Likely thawed for short period due to Dry Shipper not staying cold,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196737_Mnov_MS51_n0028385_R1.fastq.gz,2,E,2,z0196737,28385,102653,98536,157.5,345,332,0.96,196737,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,37.6549,-122.751,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180821-ZIP-14,176035,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,21,,,,,,UNITED STATES OF AMERICA,37.6549,1e-04,DEGREE,-122.751,0.001,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Likely thawed for short period due to Dry Shipper not staying cold,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
z0196738_Mnov_MS51_n0028386_R1.fastq.gz,2,F,2,z0196738,28386,25640,23321,33,299,234,0.91,196738,NA,NA,NA,NA,NA,M,E5,NA,CCES,NA,NA,x,37.4979,-122.645,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180822-ZIP-01,176036,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,22,,,,,,UNITED STATES OF AMERICA,37.4979,1e-04,DEGREE,-122.645,0.001,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,1/30/19 0:00,NA,NA,NA,NA,Likely thawed for short period due to Dry Shipper not staying cold,1/30/19 15:12,Dan Prosperi,9/17/21 8:04
